movie_id,original_title,clean_title,year,genres_text,director,top_cast,overview
11,Seven (Se7en) (1995),Seven (Se7en),1995,"Crime, Mystery, Thriller",David Fincher,"Morgan Freeman, Brad Pitt, Gwyneth Paltrow","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case."
12,"Usual Suspects, The (1995)",The Usual Suspects,1995,"Drama, Crime, Thriller",Bryan Singer,"Stephen Baldwin, Gabriel Byrne, Benicio del Toro","Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess."
13,Mighty Aphrodite (1995),Mighty Aphrodite,1995,"Comedy, Romance",Woody Allen,"Woody Allen, Mira Sorvino, Helena Bonham Carter","When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy."
14,"Postino, Il (1994)",Il Postino,1994,"Comedy, Drama, Romance",Michael Radford,"Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta",Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.
15,Mr. Holland's Opus (1995),Mr. Holland's Opus,1995,"Drama, Music",Stephen Herek,"Richard Dreyfuss, Glenne Headly, Jay Thomas","In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose."
16,French Twist (Gazon maudit) (1995),French Twist (Gazon maudit),1995,"Comedy, Romance",Josiane Balasko,"Victoria Abril, Josiane Balasko, Alain Chabat","After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again."
17,From Dusk Till Dawn (1996),From Dusk Till Dawn,1996,"Horror, Action, Thriller, Crime",Robert Rodriguez,"George Clooney, Quentin Tarantino, Harvey Keitel","After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious vampire clientele."
18,"White Balloon, The (1995)",The White Balloon,1995,"Drama, Family",Jafar Panahi,"Aida Mohammadkhani, Mohsen Kafili, Fereshteh Sadr Orafaee",Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.
19,Antonia's Line (1995),Antonia's Line,1995,"Drama, Comedy",Marleen Gorris,"Willeke van Ammelrooy, Els Dottermans, Dora van der Groen","After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women."
20,Angels and Insects (1995),Angels and Insects,1995,"Drama, Romance",Philip Haas,"Mark Rylance, Kristin Scott Thomas, Patsy Kensit","In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor."
21,Muppet Treasure Island (1996),Muppet Treasure Island,1996,"Family, Comedy, Adventure",Brian Henson,"Tim Curry, Billy Connolly, Jennifer Saunders","After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted."
22,Braveheart (1995),Braveheart,1995,"Action, Drama, History, War",Mel Gibson,"Mel Gibson, Catherine McCormack, Sophie Marceau","Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule."
23,Taxi Driver (1976),Taxi Driver,1976,"Crime, Drama",Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd","Suffering from insomnia, disturbed loner Travis Bickle takes a job as a New York City cabbie, haunting the streets nightly, growing increasingly detached from reality as he dreams of cleaning up the filthy city."
24,Rumble in the Bronx (1995),Rumble in the Bronx,1995,"Crime, Action, Comedy, Thriller",Stanley Tong Gwai-Lai,"Jackie Chan, Anita Mui, Françoise Yip","Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. One of those petty thugs in the local gang stumbles into a criminal situation way over his head."
25,"Birdcage, The (1996)",The Birdcage,1996,Comedy,Mike Nichols,"Robin Williams, Gene Hackman, Nathan Lane",A gay cabaret owner and his drag queen partner agree to put up a false heterosexual front so that their son can introduce them to his fiancée's conservative parents.
26,"Brothers McMullen, The (1995)",The Brothers McMullen,1995,"Comedy, Drama, Romance",Edward Burns,"Edward Burns, Michael McGlone, Connie Britton","Deals with the lives of the three Irish Catholic McMullen brothers from Long Island, New York, over three months, as they grapple with basic ideas and values — love, sex, marriage, religion and family — in the 1990s."
27,Bad Boys (1995),Bad Boys,1995,"Action, Comedy, Crime, Thriller",Michael Bay,"Will Smith, Martin Lawrence, Téa Leoni","Marcus Burnett is a henpecked family man. Mike Lowrey is a footloose and fancy free ladies' man. Both Miami policemen, they have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other."
28,Apollo 13 (1995),Apollo 13,1995,"Drama, History",Ron Howard,"Tom Hanks, Bill Paxton, Kevin Bacon","The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy."
29,Batman Forever (1995),Batman Forever,1995,"Action, Crime, Fantasy",Joel Schumacher,"Val Kilmer, Tommy Lee Jones, Jim Carrey","Batman faces off against two foes: the schizophrenic, horribly scarred former District Attorney Harvey Dent, aka Two-Face, and the Riddler, a disgruntled ex-Wayne Enterprises inventor seeking revenge against his former employer by unleashing his brain-sucking weapon on Gotham City's residents. As the caped crusader also copes with tortured memories of his parents' murder, he has a new romance, with psychologist Chase Meridian."
30,Belle de jour (1967),Belle de jour,1967,"Drama, Romance",Luis Buñuel,"Catherine Deneuve, Jean Sorel, Michel Piccoli","Beautiful young housewife Séverine Serizy cannot reconcile her masochistic fantasies with her everyday life alongside dutiful husband Pierre. When her lovestruck friend Henri mentions a secretive high-class brothel run by Madame Anais, Séverine begins to work there during the day under the name Belle de Jour. But when one of her clients grows possessive, she must try to go back to her normal life."
31,Crimson Tide (1995),Crimson Tide,1995,"Thriller, Action, Drama, War",Tony Scott,"Denzel Washington, Gene Hackman, Matt Craven","After the Cold War, a breakaway Russian republic with nuclear warheads becomes a possible worldwide threat. U.S. submarine Capt. Frank Ramsey signs on a relatively green but highly recommended Lt. Cmdr. Ron Hunter to the USS Alabama, which may be the only ship able to stop a possible Armageddon. When Ramsey insists that the Alabama must act aggressively, Hunter, fearing they will start rather than stop a disaster, leads a potential mutiny to stop him."
32,Crumb (1994),Crumb,1994,Documentary,Terry Zwigoff,"Robert Crumb, Aline Kominsky, Charles Crumb","This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, ex-wife and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind."
33,Desperado (1995),Desperado,1995,"Thriller, Action, Crime",Robert Rodriguez,"Antonio Banderas, Salma Hayek Pinault, Joaquim de Almeida","El Mariachi plunges headfirst into the dark border underworld when he follows a trail of blood to the last of the infamous Mexican drug lords, Bucho, for an action-packed, bullet-riddled showdown. With the help of his friend and a beautiful bookstore owner, El Mariachi tracks Bucho, takes on his army of desperados, and leaves his own trail of blood."
34,"Doom Generation, The (1995)",The Doom Generation,1995,"Comedy, Crime, Drama",Gregg Araki,"Rose McGowan, James Duval, Johnathon Schaech","Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embarks on a sex- and violence-filled journey through a United States of psychos and quickie marts."
35,Free Willy 2: The Adventure Home (1995),Free Willy 2: The Adventure Home,1995,"Family, Adventure, Drama, Comedy",Dwight H. Little,"Jason James Richter, Michael Madsen, Jayne Atkinson",Jesse becomes reunited with Willy three years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.
36,Mad Love (1995),Mad Love,1995,"Drama, Romance",Antonia Bird,"Chris O'Donnell, Drew Barrymore, Matthew Lillard","Matt falls for Casey, the new girl in school. She's fun-loving and eccentric, but there's a darkness to her whimsy that Matt can't begin to comprehend. When Casey attempts to commit suicide, her parents place her in a mental institution. Matt springs her out, and together the young lovers head on a road trip. They believe their love can ""cure"" Casey's problems. Matt starts to wonder, though, if are they inspired or misguided."
37,Nadja (1994),Nadja,1994,"Horror, Thriller",Michael Almereyda,"Elina Löwensohn, Suzy Amis, Galaxy Craze","In a contemporary New York City, members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are being hunted by Dr. Van Helsing and his hapless nephew. As in all good vampire movies, forces of love are pitted against forces of destruction."
38,"Net, The (1995)",The Net,1995,"Crime, Drama, Mystery, Thriller, Action",Irwin Winkler,"Sandra Bullock, Jeremy Northam, Dennis Miller","Angela Bennett is a freelance computer systems analyst who tracks down software viruses. At night she hooks up to the internet and chats to others 'surfing the net'. While de-bugging a new high-tech game for a cyber friend, she comes across a top secret program and becomes the target of a mysterious organization who will stop at nothing to erase her identity and her existence, in order to protect the project."
39,Strange Days (1995),Strange Days,1995,"Crime, Drama, Science Fiction, Thriller",Kathryn Bigelow,"Ralph Fiennes, Angela Bassett, Juliette Lewis","In the last days of 1999, ex-cop turned street hustler Lenny Nero receives a disc which contains the memories of the murder of a prostitute. With the help of bodyguard Mace, he starts to investigate and is pulled deeper and deeper in a whirl of murder, blackmail and intrigue."
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","To Wong Foo, Thanks for Everything! Julie Newmar",1995,"Comedy, Drama",Beeban Kidron,"Patrick Swayze, Wesley Snipes, John Leguizamo","Manhattan drag queens Vida Boheme and Noxeema Jackson impress regional judges in competition, securing berths in the Nationals in Los Angeles. When the two meet pathetic drag novice Chi-Chi Rodriguez — one of the losers that evening — the charmed Vida and Noxeema agree to take the hopeless youngster under their joined wing. Soon the three set off on a madcap road trip across America and struggle to make it to Los Angeles in time."
41,Billy Madison (1995),Billy Madison,1995,Comedy,Tamra Davis,"Adam Sandler, Bradley Whitford, Josh Mostel","Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire, but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business."
42,Clerks (1994),Clerks,1994,Comedy,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti","Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives."
43,Disclosure (1994),Disclosure,1994,"Thriller, Drama, Crime",Barry Levinson,"Michael Douglas, Demi Moore, Donald Sutherland","A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life."
44,Dolores Claiborne (1994),Dolores Claiborne,1994,Unknown,Unknown Director,Unknown Cast,A movie titled Dolores Claiborne released in 1994.
45,Eat Drink Man Woman (1994),Eat Drink Man Woman,1994,"Comedy, Drama, Romance",Ang Lee,"Lung Sihung, Yang Kuei-mei, Jacklyn Wu Chien-Lien","Retired and widowed Chinese master chef Chu lives in modern day Taipei, with his three attractive daughters, all of whom are unattached. Soon, each daughter encounters a new man in their lives. When these new relationships blossom, stereotypes are broken and the living situation within the family changes."
46,Exotica (1994),Exotica,1994,Drama,Atom Egoyan,"Bruce Greenwood, Mia Kirshner, Don McKellar","In the upscale Toronto strip club Exotica, dancer Christina is visited nightly by the obsessive Francis, a depressed tax auditor. Her ex-boyfriend, the club's MC, Eric, still jealously pines for her even as he introduces her onstage, but Eric is having his own relationship problems with the club's female owner. Thomas, a mysterious pet-shop owner, is about to become unexpectedly involved in their lives."
47,Ed Wood (1994),Ed Wood,1994,"Comedy, Drama, History",Tim Burton,"Johnny Depp, Martin Landau, Sarah Jessica Parker","The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful."
48,Hoop Dreams (1994),Hoop Dreams,1994,Documentary,Steve James,"William Gates, Arthur Agee, Gene Pingatore","Every school day, African-American teenagers William Gates and Arthur Agee travel 90 minutes each way from inner-city Chicago to St. Joseph High School in Westchester, Illinois, a predominately white suburban school well-known for the excellence of its basketball program. Gates and Agee dream of NBA stardom, and with the support of their close-knit families, they battle the social and physical obstacles that stand in their way. This acclaimed documentary was shot over the course of five years."
49,I.Q. (1994),I.Q.,1994,"Comedy, Drama, Romance",Fred Schepisi,"Tim Robbins, Meg Ryan, Walter Matthau",Albert Einstein helps a young man who's in love with Einstein's niece to catch her attention by pretending temporarily to be a great physicist.
50,Star Wars (1977),Star Wars,1977,"Adventure, Action, Science Fiction",George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.
51,Legends of the Fall (1994),Legends of the Fall,1994,"Drama, Western, Romance, War",Edward Zwick,"Brad Pitt, Anthony Hopkins, Aidan Quinn","In early 20th-century Montana, Col. William Ludlow lives on a ranch in the wilderness with his sons, Alfred, Tristan, and Samuel. Eventually, the unconventional but close-knit family are bound by loyalty, tested by war, and torn apart by love, as told over the course of several decades in this epic saga."
52,"Madness of King George, The (1994)",The Madness of King George,1994,"Comedy, Drama, History",Nicholas Hytner,"Nigel Hawthorne, Helen Mirren, Ian Holm","Aging King George III of England is exhibiting signs of madness, a problem little understood in 1788. As the monarch alternates between bouts of confusion and near-violent outbursts of temper, his hapless doctors attempt the ineffectual cures of the day. Meanwhile, Queen Charlotte and Prime Minister William Pitt the Younger attempt to prevent the king's political enemies, led by the Prince of Wales, from usurping the throne."
53,Natural Born Killers (1994),Natural Born Killers,1994,"Crime, Thriller, Drama",Oliver Stone,"Woody Harrelson, Juliette Lewis, Robert Downey Jr.",Two victims of traumatized childhoods become lovers and serial murderers irresponsibly glorified by the mass media.
54,Outbreak (1995),Outbreak,1995,"Action, Drama, Science Fiction, Thriller",Wolfgang Petersen,"Dustin Hoffman, Rene Russo, Morgan Freeman","A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col. Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House."
55,"Professional, The (1994)",The Professional,1994,"Crime, Drama, Action",Luc Besson,"Jean Reno, Natalie Portman, Gary Oldman","Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps."
56,Pulp Fiction (1994),Pulp Fiction,1994,"Thriller, Crime, Comedy",Quentin Tarantino,"John Travolta, Samuel L. Jackson, Uma Thurman","A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time."
57,Priest (1994),Priest,1994,"Drama, Romance",Antonia Bird,"Linus Roache, Tom Wilkinson, Robert Carlyle",The deeply held religious convictions of an idealistic young priest are challenged when he must face extraordinary events within his own congregation.
58,Quiz Show (1994),Quiz Show,1994,"History, Drama",Robert Redford,"John Turturro, Rob Morrow, Ralph Fiennes","Herbert Stempel's transformation into an unexpected television personality unfolds as he secures victory on the cherished American game show, 'Twenty-One.' However, when the show introduces the highly skilled contestant Charles Van Doren to replace Stempel, it compels Stempel to let out his frustrations and call out the show as rigged. Lawyer Richard Goodwin steps in and attempts to uncover the orchestrated deception behind the scenes."
59,Three Colors: Red (1994),Three Colors: Red,1994,"Drama, Mystery, Romance",Krzysztof Kieślowski,"Irène Jacob, Jean-Louis Trintignant, Frédérique Feder","Part-time model Valentine unexpectedly befriends a retired judge after she runs over his dog. At first, the grumpy man shows no concern about the dog, and Valentine decides to keep it. But the two form a bond when she returns to his house and catches him listening to his neighbors’ phone calls."
60,Three Colors: Blue (1993),Three Colors: Blue,1993,Drama,Krzysztof Kieślowski,"Juliette Binoche, Benoît Régent, Florence Pernel","The wife of a famous composer survives a car accident that kills her husband and daughter. Now alone, she shakes off her old identity and explores her newfound freedom but finds that she is unbreakably bound to other humans, including her husband’s mistress, whose existence she never suspected."
61,Three Colors: White (1994),Three Colors: White,1994,"Comedy, Drama, Mystery",Krzysztof Kieślowski,"Zbigniew Zamachowski, Julie Delpy, Janusz Gajos","Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikołaj to smuggle him back to their homeland."
62,Stargate (1994),Stargate,1994,"Action, Adventure, Science Fiction",Roland Emmerich,"James Spader, Kurt Russell, Jaye Davidson","An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra."
63,"Santa Clause, The (1994)",The Santa Clause,1994,"Fantasy, Drama, Comedy, Family",John Pasquin,"Tim Allen, Judge Reinhold, Wendy Crewson","On Christmas Eve, divorced dad Scott Calvin and his son discover Santa Claus has fallen off their roof. When Scott takes the reins of the magical sleigh, he finds he is now the new Santa, and must convince a world of disbelievers, including himself."
64,"Shawshank Redemption, The (1994)",The Shawshank Redemption,1994,"Drama, Crime",Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton","Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope."
65,What's Eating Gilbert Grape (1993),What's Eating Gilbert Grape,1993,"Romance, Drama",Lasse Hallström,"Johnny Depp, Leonardo DiCaprio, Juliette Lewis","Gilbert Grape is a small-town young man with a lot of responsibility. Chief among his concerns are his mother, who is so overweight that she can't leave the house, and his mentally impaired younger brother, Arnie, who has a knack for finding trouble. Settled into a job at a grocery store and an ongoing affair with local woman Betty Carver, Gilbert finally has his life shaken up by the free-spirited Becky."
66,While You Were Sleeping (1995),While You Were Sleeping,1995,"Romance, Comedy",Jon Turteltaub,"Sandra Bullock, Bill Pullman, Peter Gallagher","A transit worker pulls commuter Peter off railway tracks after he's mugged, but—while he's in a coma—his family mistakenly thinks she's Peter's fiancée, and she doesn't correct them. Things get more complicated when she falls for his brother, who's not quite sure that she's who she claims to be."
67,Ace Ventura: Pet Detective (1994),Ace Ventura: Pet Detective,1994,"Comedy, Mystery, Crime",Tom Shadyac,"Jim Carrey, Courteney Cox, Sean Young","He's Ace Ventura: Pet Detective. The Ace is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man… or beast!"
68,"Crow, The (1994)",The Crow,1994,"Fantasy, Action, Thriller",Alex Proyas,"Brandon Lee, Rochelle Davis, Ernie Hudson","Exactly one year after young rock guitarist Eric Draven and his fiancée are brutally killed by a ruthless gang of criminals, Draven, watched over by a hypnotic crow, returns from the grave to exact revenge."
69,Forrest Gump (1994),Forrest Gump,1994,"Comedy, Drama, Romance",Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise","A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him."
70,Four Weddings and a Funeral (1994),Four Weddings and a Funeral,1994,"Comedy, Drama, Romance",Mike Newell,"Hugh Grant, Andie MacDowell, Kristin Scott Thomas","Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love."
71,"Lion King, The (1994)",The Lion King,1994,"Family, Animation, Drama, Adventure","Roger Allers, Rob Minkoff","Matthew Broderick, Moira Kelly, Nathan Lane","Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life."
72,"Mask, The (1994)",The Mask,1994,"Romance, Comedy, Crime, Fantasy",Chuck Russell,"Jim Carrey, Peter Riegert, Peter Greene","Stanley Ipkiss, an insecure banker who has lost his zest for life stumbles upon an ancient mask, that turns him into a confident suave cartoon-like character who upsets his ordinary life."
73,Maverick (1994),Maverick,1994,"Action, Adventure, Comedy, Drama, Western",Richard Donner,"Mel Gibson, Jodie Foster, James Garner","Bret Maverick is a gambler who would rather con someone than fight them, and needs an additional $3k in order to enter a winner-takes-all poker game beginning in a few days. He joins forces with a woman with a marvelous Southern accent, and the two try and enter the game."
74,Faster Pussycat! Kill! Kill! (1965),Faster Pussycat! Kill! Kill!,1965,"Crime, Action, Thriller, Comedy",Russ Meyer,"Tura Satana, Haji, Lori Williams","A trio of thrill-seeking go-go dancers kidnap a young girl and attempt to seduce an old rancher and his two sons out of their small fortune, but their scheme doesn't play out as intended."
75,Brother Minister: The Assassination of Malcolm X (1994),Brother Minister: The Assassination of Malcolm X,1994,Unknown,Unknown Director,Unknown Cast,A movie titled Brother Minister: The Assassination of Malcolm X released in 1994.
76,Carlito's Way (1993),Carlito's Way,1993,"Crime, Drama, Thriller",Brian De Palma,"Al Pacino, Sean Penn, Penelope Ann Miller","Free after years in prison, Carlito Brigante intends to give up his criminal ways, but it's not long before the ex-con is sucked back into the New York City underworld."
77,"Firm, The (1993)",The Firm,1993,"Drama, Mystery, Thriller",Sydney Pollack,"Tom Cruise, Jeanne Tripplehorn, Gene Hackman","Mitch McDeere is a young man with a promising future in Law. About to sit his Bar exam, he is approached by 'The Firm' and made an offer he doesn't refuse. Seduced by the money and gifts showered on him, he is totally oblivious to the more sinister side of his company. Then, two Associates are murdered. The FBI contact him, asking him for information and suddenly his life is ruined. He has a choice - work with the FBI, or stay with the Firm. Either way he will lose his life as he knows it. Mitch figures the only way out is to follow his own plan..."
78,Free Willy (1993),Free Willy,1993,"Family, Adventure, Drama",Simon Wincer,"Jason James Richter, Keiko, Lori Petty","When maladjusted orphan Jesse vandalizes a theme park, he is placed with foster parents and must work at the park to make amends. There he meets Willy, a young Orca whale who has been separated from his family. Sensing kinship, they form a bond and, with the help of kindly whale trainer Rae Lindley, develop a routine of tricks. However, greedy park owner Dial soon catches wind of the duo and makes plans to profit from them."
79,"Fugitive, The (1993)",The Fugitive,1993,"Action, Thriller, Drama",Andrew Davis,"Harrison Ford, Tommy Lee Jones, Joe Pantoliano","Wrongfully convicted of murdering his wife and sentenced to death, Richard Kimble escapes from the law in an attempt to find the real killer and clear his name."
80,Hot Shots! Part Deux (1993),Hot Shots! Part Deux,1993,"Action, Comedy, War",Jim Abrahams,"Charlie Sheen, Lloyd Bridges, Valeria Golino","Topper Harley is found to be working as an odd-job-man in a monastery. The CIA want him to lead a rescue mission into Iraq, to rescue the last rescue team, who went in to rescue the last rescue team—who went in to rescue hostages left behind after Desert Storm."
